Name,Margin,Unit,Result,Tolerance,Limits
Spk FR,2.2000,dB,PASS,Tolerance curves,Floating Limits
Spk THD,6.6000,dB,PASS,Tolerance curves,Absolute Limits
Spk Rub & Buzz,0.9800,%,PASS,Tolerance curves,Absolute Limits
Check Missing Mic,1.0000,,PASS,Minimum,1.0
Mic Seal L,2.1000,dB,PASS,Tolerance curves,Absolute Limits
Mic Seal R,2.7000,dB,PASS,Tolerance curves,Absolute Limits
Mic L Sensitivity,-39.0000,dB,PASS,Max/Min,-37.0/-42.0
Mic L THD margin,1.1000,%,PASS,Tolerance curves,Absolute Limits
Mic L FR,0.4000,dB,PASS,Tolerance curves,Floating Limits
Mic R Sensitivity,-39.0000,dB,PASS,Max/Min,-37.0/-42.0
Mic R THD margin,0.4000,%,PASS,Tolerance curves,Absolute Limits
Mic R FR,0.6000,dB,PASS,Tolerance curves,Floating Limits
